tenure,monthly_charges,total_charges,contract,payment_method,internet_service,tech_support,online_security,support_calls,churn
0.1267605633802817,0.21889999999999998,0.04630480307653353,2,0,1,0,0,0.25,0
0.33802816901408456,0.8673000000000002,0.30756275777641234,0,2,1,0,1,0.0,0
0.323943661971831,0.3002000000000001,0.13708391359038477,0,2,1,1,0,0.0,0
0.46478873239436624,0.3898,0.23056463124688575,2,1,1,1,1,0.125,1
0.8591549295774649,0.7116,0.6541106590365041,0,3,1,0,1,0.125,1
0.07042253521126761,0.6523000000000001,0.05704618865487607,0,2,1,1,0,0.0,0
0.6056338028169015,0.8087000000000002,0.5131485570328316,0,2,0,0,0,0.0,0
0.11267605633802817,0.7301,0.09487681902600441,1,0,0,0,1,0.375,0
0.3943661971830986,0.522,0.2408414240233969,1,0,1,1,1,0.25,0
0.295774647887324,0.2802,0.12035392679643517,0,1,1,1,0,0.0,1
0.5633802816901409,0.19530000000000003,0.18589519483279884,0,1,2,1,1,0.5,0
0.5492957746478874,0.6149,0.3762469961171656,0,2,0,1,1,0.125,0
0.8591549295774649,0.09360000000000002,0.20907721416218233,1,1,0,0,1,0.125,0
0.7042253521126761,0.1367,0.1970965272849545,0,1,0,1,1,0.0,0
0.5211267605633804,0.1129,0.13575285521313774,0,2,1,0,1,0.0,0
0.8169014084507042,0.8551000000000002,0.7206833230929336,0,2,1,0,0,0.125,1
0.5211267605633804,0.21840000000000004,0.1823166687766923,2,1,1,0,0,0.25,0
0.7323943661971831,0.9384000000000001,0.6984328123312221,1,1,0,0,0,0.125,0
0.14084507042253522,0.41250000000000003,0.07590517196321818,2,2,1,1,0,0.0,0
0.9577464788732395,0.8729000000000002,0.8574966113762515,0,2,1,0,1,0.125,1
0.9295774647887325,0.48610000000000003,0.5315685001434429,1,2,1,0,0,0.125,0
0.23943661971830985,0.05559999999999998,0.05108778597138804,0,3,1,0,0,0.125,0
0.7042253521126761,0.5282,0.4290038317291331,0,1,2,1,0,0.5,0
0.5070422535211268,0.24609999999999999,0.18936105713446125,0,3,0,0,0,0.25,0
0.971830985915493,0.7595000000000001,0.7777597102799287,0,1,0,0,0,0.125,1
0.5915492957746479,0.772,0.4831033405383934,0,1,1,1,0,0.0,0
0.7183098591549296,0.7558,0.574925461892356,0,0,0,0,1,0.125,1
